,new_customer_id
0,12352.0
1,12380.0
2,12388.0
3,12395.0
4,12407.0
5,12408.0
6,12413.0
7,12415.0
8,12421.0
9,12428.0
10,12431.0
11,12432.0
12,12444.0
13,12457.0
14,12463.0
15,12472.0
16,12473.0
17,12474.0
18,12477.0
19,12481.0
20,12483.0
21,12484.0
22,12500.0
23,12517.0
24,12530.0
25,12539.0
26,12540.0
27,12557.0
28,12567.0
29,12576.0
30,12594.0
31,12597.0
32,12599.0
33,12600.0
34,12610.0
35,12613.0
36,12619.0
37,12626.0
38,12633.0
39,12637.0
40,12645.0
41,12647.0
42,12656.0
43,12676.0
44,12678.0
45,12679.0
46,12681.0
47,12685.0
48,12691.0
49,12697.0
50,12705.0
51,12708.0
52,12712.0
53,12721.0
54,12726.0
55,12731.0
56,12744.0
57,12757.0
58,12775.0
59,12778.0
60,12779.0
61,12781.0
62,12830.0
63,12836.0
64,12843.0
65,12867.0
66,12879.0
67,12883.0
68,12885.0
69,12908.0
70,12909.0
71,12910.0
72,12928.0
73,12931.0
74,12933.0
75,12936.0
76,12937.0
77,12939.0
78,12940.0
79,12948.0
80,12949.0
81,12993.0
82,12997.0
83,13015.0
84,13018.0
85,13047.0
86,13048.0
87,13055.0
88,13064.0
89,13092.0
90,13094.0
91,13097.0
92,13107.0
93,13110.0
94,13117.0
95,13118.0
96,13131.0
97,13136.0
98,13138.0
99,13139.0
100,13145.0
101,13148.0
102,13149.0
103,13155.0
104,13157.0
105,13167.0
106,13168.0
107,13178.0
108,13184.0
109,13186.0
110,13200.0
111,13208.0
112,13209.0
113,13213.0
114,13232.0
115,13246.0
116,13247.0
117,13265.0
118,13268.0
119,13277.0
120,13282.0
121,13285.0
122,13308.0
123,13313.0
124,13316.0
125,13317.0
126,13320.0
127,13324.0
128,13327.0
129,13329.0
130,13340.0
131,13381.0
132,13384.0
133,13396.0
134,13430.0
135,13437.0
136,13447.0
137,13448.0
138,13450.0
139,13451.0
140,13455.0
141,13456.0
142,13477.0
143,13481.0
144,13488.0
145,13491.0
146,13499.0
147,13500.0
148,13505.0
149,13517.0
150,13520.0
151,13523.0
152,13524.0
153,13527.0
154,13538.0
155,13549.0
156,13552.0
157,13571.0
158,13575.0
159,13577.0
160,13588.0
161,13592.0
162,13610.0
163,13614.0
164,13623.0
165,13627.0
166,13629.0
167,13632.0
168,13634.0
169,13636.0
170,13650.0
171,13654.0
172,13681.0
173,13692.0
174,13695.0
175,13700.0
176,13717.0
177,13719.0
178,13725.0
179,13728.0
180,13735.0
181,13742.0
182,13750.0
183,13771.0
184,13782.0
185,13804.0
186,13810.0
187,13813.0
188,13815.0
189,13816.0
190,13824.0
191,13831.0
192,13835.0
193,13842.0
194,13846.0
195,13862.0
196,13865.0
197,13871.0
198,13875.0
199,13880.0
200,13892.0
201,13894.0
202,13895.0
203,13911.0
204,13925.0
205,13939.0
206,13940.0
207,13941.0
208,13975.0
209,13982.0
210,13983.0
211,13984.0
212,13988.0
213,13991.0
214,13993.0
215,13995.0
216,14001.0
217,14004.0
218,14019.0
219,14030.0
220,14034.0
221,14035.0
222,14040.0
223,14044.0
224,14049.0
225,14057.0
226,14064.0
227,14077.0
228,14099.0
229,14107.0
230,14111.0
231,14112.0
232,14116.0
233,14145.0
234,14159.0
235,14167.0
236,14175.0
237,14201.0
238,14211.0
239,14214.0
240,14221.0
241,14226.0
242,14227.0
243,14229.0
244,14232.0
245,14233.0
246,14234.0
247,14239.0
248,14257.0
249,14273.0
250,14277.0
251,14285.0
252,14286.0
253,14297.0
254,14312.0
255,14315.0
256,14334.0
257,14336.0
258,14341.0
259,14342.0
260,14356.0
261,14359.0
262,14360.0
263,14404.0
264,14410.0
265,14426.0
266,14434.0
267,14443.0
268,14447.0
269,14449.0
270,14462.0
271,14466.0
272,14467.0
273,14477.0
274,14482.0
275,14487.0
276,14498.0
277,14502.0
278,14504.0
279,14505.0
280,14506.0
281,14507.0
282,14515.0
283,14522.0
284,14524.0
285,14530.0
286,14533.0
287,14535.0
288,14541.0
289,14553.0
290,14577.0
291,14587.0
292,14591.0
293,14595.0
294,14607.0
295,14623.0
296,14639.0
297,14640.0
298,14657.0
299,14662.0
300,14665.0
301,14676.0
302,14680.0
303,14684.0
304,14691.0
305,14709.0
306,14710.0
307,14715.0
308,14738.0
309,14744.0
310,14748.0
311,14776.0
312,14790.0
313,14800.0
314,14805.0
315,14808.0
316,14810.0
317,14820.0
318,14829.0
319,14834.0
320,14841.0
321,14842.0
322,14844.0
323,14849.0
324,14852.0
325,14859.0
326,14878.0
327,14883.0
328,14898.0
329,14903.0
330,14913.0
331,14916.0
332,14937.0
333,14944.0
334,14948.0
335,14952.0
336,14959.0
337,14970.0
338,14976.0
339,14997.0
340,15005.0
341,15018.0
342,15027.0
343,15034.0
344,15038.0
345,15044.0
346,15048.0
347,15050.0
348,15058.0
349,15059.0
350,15065.0
351,15081.0
352,15093.0
353,15105.0
354,15106.0
355,15110.0
356,15114.0
357,15116.0
358,15117.0
359,15125.0
360,15128.0
361,15129.0
362,15132.0
363,15134.0
364,15140.0
365,15150.0
366,15179.0
367,15181.0
368,15199.0
369,15203.0
370,15215.0
371,15220.0
372,15227.0
373,15228.0
374,15238.0
375,15240.0
376,15241.0
377,15249.0
378,15253.0
379,15267.0
380,15270.0
381,15281.0
382,15288.0
383,15289.0
384,15291.0
385,15296.0
386,15299.0
387,15301.0
388,15304.0
389,15321.0
390,15329.0
391,15351.0
392,15356.0
393,15365.0
394,15367.0
395,15370.0
396,15382.0
397,15406.0
398,15407.0
399,15411.0
400,15416.0
401,15421.0
402,15426.0
403,15449.0
404,15465.0
405,15468.0
406,15469.0
